"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",211791,23570226,71,2020-09-01,2020-12-31,64531.7618069815,110.023340463515,85.9291417152969,138.779473238265,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"2","1",225232,64119382,239,2021-01-01,2021-12-31,175549.300479124,136.14409134511,119.429512431117,154.543144690942,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"3","1",176375,25559454,131,2022-01-01,2022-06-20,69977.9712525667,187.201768864077,156.518998622061,222.141282557209,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"4","10",805716,92925392,2019,2020-09-01,2020-12-31,254415.857631759,793.582608723351,759.340768201361,828.970622448989,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"5","10",806821,255544702,6669,2021-01-01,2021-12-31,699643.263518138,953.200058907893,930.458591650827,976.356921480986,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"6","10",690372,104609589,2976,2022-01-01,2022-06-20,286405.445585216,1039.08638815128,1002.08601007185,1077.10358456421,"FALSE","FALSE",1,"dysautonomia",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"7","100",944775,109378504,146,2020-09-01,2020-12-31,299462.023271732,48.7540952288029,41.1666765501692,57.3347576078216,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"8","100",936407,299715011,455,2021-01-01,2021-12-31,820574.978781656,55.4489244450956,50.4704154266452,60.7857105975923,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"9","100",801243,122127125,184,2022-01-01,2022-06-20,334365.845311431,55.0295440099814,47.3652445971435,63.5808203106552,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"10","101",921312,27216997,28,2020-09-01,2020-09-30,74516.076659822,37.5757839852795,24.9688355719478,54.3074699544505,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"11","101",911175,27794244,44,2020-10-01,2020-10-31,76096.4928131417,57.8213244440108,42.0130628577709,77.622429229888,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"12","101",897420,26710562,38,2020-11-01,2020-11-30,73129.5331964408,51.9625906785488,36.7718218205513,71.3227155151568,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"13","101",897483,27656701,36,2020-12-01,2020-12-31,75719.9206023272,47.5436314692776,33.2989749814137,65.8204262402574,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"14","101",886181,27197974,46,2021-01-01,2021-01-31,74463.9945242984,61.7748219040139,45.2269336665554,82.3989554986395,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"15","101",877448,24312936,47,2021-02-01,2021-02-28,66565.1909650924,70.6074741446282,51.8797162095963,93.8929723395862,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"16","101",867709,26653941,31,2021-03-01,2021-03-31,72974.5133470226,42.4805847660577,28.8634963264215,60.2977991699674,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"17","101",860236,25555902,42,2021-04-01,2021-04-30,69968.2464065708,60.0272297178162,43.2623472604781,81.139376351669,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"18","101",845283,25779706,30,2021-05-01,2021-05-31,70580.9883641342,42.5043637037598,28.6775157029486,60.6776221010957,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"19","101",819284,24416073,37,2021-06-01,2021-06-30,66847.5646817248,55.3498099387236,38.9713741871409,76.2924219973467,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"20","101",815023,24997885,32,2021-07-01,2021-07-31,68440.4791238878,46.7559555538399,31.981038986685,66.0054585498266,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"21","101",810856,24888979,50,2021-08-01,2021-08-31,68142.3107460643,73.3758504115416,54.4609704765629,96.7369112415139,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"22","101",807803,24026041,29,2021-09-01,2021-09-30,65779.7152635181,44.0865392679551,29.5254472594523,63.3156243862389,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"23","101",802028,24399291,41,2021-10-01,2021-10-31,66801.6180698152,61.375758828402,44.0443041929099,83.2631471704841,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"24","101",789978,23427410,42,2021-11-01,2021-11-30,64140.7529089665,65.4809900027361,47.192937967908,88.5112759107546,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"25","101",782166,24058873,28,2021-12-01,2021-12-31,65869.6043805613,42.508225551546,28.2464071719069,61.4362213403708,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"26","101",771067,23642531,40,2022-01-01,2022-01-31,64729.7221081451,61.7954143742055,44.1475500142663,84.1478152385427,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"27","101",767335,21345399,33,2022-02-01,2022-02-28,58440.5174537988,56.4676724946673,38.8697475012745,79.3016066392766,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"28","101",770837,23588140,28,2022-03-01,2022-03-31,64580.8076659822,43.356534258318,28.8101021468923,62.6622636133188,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"29","101",768262,22859841,44,2022-04-01,2022-04-30,62586.8336755647,70.3023262497758,51.0817778765925,94.3775915977823,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"30","101",770273,23429601,30,2022-05-01,2022-05-31,64146.7515400411,46.7677618581725,31.5540125345028,66.7638880638791,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"31","101",753084,7261613,9,2022-06-01,2022-06-20,19881.2128678987,45.2688679498618,20.6998090344037,85.9344123768487,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"32","102",1099808,531220640,785,2020-09-01,2022-06-20,1454402.84736482,53.9740417465707,50.2638745323361,57.8856044849326,"FALSE","FALSE",7,"pots",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"33","103",1088161,128005935,201,2020-09-01,2020-12-31,350461.149897331,57.3530047649744,49.6978468084751,65.8535333307207,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"34","103",1083038,360939617,662,2021-01-01,2021-12-31,988198.814510609,66.9905681204289,61.9839957552141,72.2938600211393,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"35","103",964812,150421826,305,2022-01-01,2022-06-20,411832.514715948,74.0592326009924,65.9800914888945,82.8546705531813,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"36","104",1075218,31964640,49,2020-09-01,2020-09-30,87514.4147843942,55.9907760575436,41.4222843609684,74.0227752793819,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"37","104",1061164,32498659,47,2020-10-01,2020-10-31,88976.4791238878,52.8229487869022,38.8123159143913,70.2433238042877,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"38","104",1044848,31235486,60,2020-11-01,2020-11-30,85518.0999315537,70.1605859438204,53.5399184344055,90.3105815826796,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"39","104",1045773,32307150,45,2020-12-01,2020-12-31,88452.1560574949,50.8749611154187,37.1085457395736,68.0747006978771,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"40","104",1054345,32482188,62,2021-01-01,2021-01-31,88931.3839835729,69.7166705641874,53.4513715596207,89.3736252776947,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"41","104",1043017,28982983,51,2021-02-01,2021-02-28,79351.0828199863,64.2713346655864,47.8542301992714,84.5049355264934,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"42","104",1028306,31708425,73,2021-03-01,2021-03-31,86812.9363449692,84.0888502030612,65.9122353552496,105.729104494575,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"43","104",1023452,30486130,57,2021-04-01,2021-04-30,83466.4750171116,68.2908916284225,51.7228544203815,88.4787711327485,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"44","104",1007481,30865929,55,2021-05-01,2021-05-31,84506.3080082136,65.0838988193098,49.0300995842954,84.715640362612,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"45","104",985028,29476550,61,2021-06-01,2021-06-30,80702.3956194387,75.5863559337846,57.8175730755427,97.0938363271613,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"46","104",983224,30271615,56,2021-07-01,2021-07-31,82879.1649555099,67.5682483408962,51.0403286584006,87.7429907101765,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"47","104",980252,30210658,42,2021-08-01,2021-08-31,82712.2737850787,50.7784371992162,36.5966311253051,68.6376956895269,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"48","104",976922,29195989,49,2021-09-01,2021-09-30,79934.2614647502,61.3003724586963,45.3503530082843,81.0423433029222,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"49","104",970680,29626885,54,2021-10-01,2021-10-31,81113.9904175222,66.5729792382831,50.0116709383115,86.863296986176,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"50","104",955284,28444944,59,2021-11-01,2021-11-30,77878.0123203285,75.7595093173676,57.6716486342187,97.7242473132687,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"51","104",946818,29187321,43,2021-12-01,2021-12-31,79910.5297741273,53.810180112111,38.9426941604918,72.4819594790581,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"52","104",948369,29191201,50,2022-01-01,2022-01-31,79921.1526351814,62.5616602756427,46.4344701168957,82.479749716872,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"53","104",943787,26343296,64,2022-02-01,2022-02-28,72124.0136892539,88.7360488224405,68.3375702835837,113.313953326286,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"54","104",946575,29093149,67,2022-03-01,2022-03-31,79652.7008898015,84.1151640202303,65.1880967564889,106.823284932314,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"55","104",942678,28167649,54,2022-04-01,2022-04-30,77118.8199863107,70.0218182923253,52.6025449815566,91.3632838342413,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"56","104",942285,28787882,64,2022-05-01,2022-05-31,78816.9253935661,81.2008330449597,62.5345359516636,103.691651001089,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"57","104",921492,8838649,6,2022-06-01,2022-06-20,24198.9021218344,24.7945132791222,9.09914938456695,53.9672170116151,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"58","105",1225385,639367378,1168,2020-09-01,2022-06-20,1750492.47912389,66.724079876343,62.9519052524738,70.663228074299,"FALSE","FALSE",7,"pots",FALSE,"overall",FALSE,5,NA,5,"Denominator cohort 5","41 to 64","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"59","106",636791,74751644,220,2020-09-01,2020-12-31,204658.847364819,107.495963567035,93.7596710721048,122.678423124351,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"60","106",656270,218731029,704,2021-01-01,2021-12-31,598852.919917864,117.558080888469,109.03341914824,126.572184744759,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"61","106",606320,94356220,270,2022-01-01,2022-06-20,258333.25119781,104.516162262541,92.4201054958272,117.75547320094,"FALSE","FALSE",7,"pots",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"62","107",630727,18754305,52,2020-09-01,2020-09-30,51346.4887063655,101.27274777711,75.6353319942726,132.805735034456,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"63","107",620486,19005552,64,2020-10-01,2020-10-31,52034.3655030801,122.995638327158,94.7216288114783,157.062684283231,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"64","107",609973,18221939,48,2020-11-01,2020-11-30,49888.9500342231,96.2136905408365,70.9403801827964,127.565395019279,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"65","107",608675,18769848,56,2020-12-01,2020-12-31,51389.0431211499,108.972645915939,82.3167656243444,141.510044925619,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"66","107",643095,19796597,60,2021-01-01,2021-01-31,54200.128678987,110.700844190544,84.4764063590836,142.493929975826,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"67","107",634040,17610319,55,2021-02-01,2021-02-28,48214.4257357974,114.073742786829,85.9359545180181,148.482656141659,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"68","107",624585,19259342,71,2021-03-01,2021-03-31,52729.2046543463,134.650238829551,105.162953657273,169.842954571701,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"69","107",621383,18504962,57,2021-04-01,2021-04-30,50663.8247775496,112.506310469592,85.2111808622372,145.764974766942,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"70","107",610751,18739244,59,2021-05-01,2021-05-31,51305.2539356605,114.997968968225,87.5417821438276,148.339001416924,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"71","107",599595,17930774,68,2021-06-01,2021-06-30,49091.7837097878,138.516050673552,107.563133303087,175.602100069633,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"72","107",597216,18402715,55,2021-07-01,2021-07-31,50383.8877481177,109.161881820155,82.2356686299706,142.089193938064,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"73","107",593912,18316128,61,2021-08-01,2021-08-31,50146.8254620123,121.642794809034,93.0470994546384,156.255258818315,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"74","107",590946,17648859,59,2021-09-01,2021-09-30,48319.9425051335,122.102794293954,92.9503043674397,157.503708441893,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"75","107",585733,17864565,46,2021-10-01,2021-10-31,48910.5133470226,94.0493093450638,68.8559148214747,125.448598903984,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"76","107",574768,17120928,66,2021-11-01,2021-11-30,46874.546201232,140.801363103682,108.895764024057,179.133856746116,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"77","107",569183,17536596,47,2021-12-01,2021-12-31,48012.5831622177,97.8910046168595,71.9266281724274,130.17428395694,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"78","107",600627,18492390,59,2022-01-01,2022-01-31,50629.4045174538,116.533071171439,88.7103730663277,150.319171414191,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"79","107",595715,16622152,46,2022-02-01,2022-02-28,45508.9719370294,101.078969798856,74.0025097810859,134.82518083574,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"80","107",594464,18261247,65,2022-03-01,2022-03-31,49996.5694729637,130.008919982299,100.33813971249,165.70704088142,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"81","107",588941,17592083,48,2022-04-01,2022-04-30,48164.4982888433,99.6584656859566,73.480285440202,132.132667095318,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"82","107",586350,17928761,45,2022-05-01,2022-05-31,49086.2724161533,91.6753254728534,66.8686114723858,122.668798287367,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"83","107",573426,5459587,7,2022-06-01,2022-06-20,14947.5345653662,46.8304653813558,18.8282759221097,96.488657033248,"FALSE","FALSE",7,"pots",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"84","108",730651,387838893,1194,2020-09-01,2022-06-20,1061845.01848049,112.445788153588,106.157382529757,119.00942684376,"FALSE","FALSE",7,"pots",FALSE,"overall",FALSE,6,NA,5,"Denominator cohort 6","65 to 150","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"85","109",213012,23711196,NA,2020-09-01,2020-12-31,64917.7166324435,NA,NA,NA,"FALSE","TRUE",8,"ra",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"86","109",226364,64466876,NA,2021-01-01,2021-12-31,176500.687200548,NA,NA,NA,"FALSE","TRUE",8,"ra",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"87","109",177198,25688819,NA,2022-01-01,2022-06-20,70332.1533196441,NA,NA,NA,"FALSE","TRUE",8,"ra",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 6","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
"88","11",782674,23092514,509,2020-09-01,2020-09-30,63223.8576317591,805.075835398433,736.645710279791,878.152088695902,"FALSE","FALSE",1,"dysautonomia",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19 to 40","Both",365,2020-09-01,2022-07-01,NA,NA,FALSE,"cdm_gold_202207"
