"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","denominator_closed_cohort","cdm_name"
"1","1",911779,110517941,82,2020-09-01,2020-12-31,302581.631759069,27.1001248566511,21.5535335336659,33.6384005018234,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"2","1",911281,332335917,234,2021-01-01,2021-12-31,909886.151950719,25.7175031731524,22.5276985566408,29.2323751828105,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"3","1",914984,333672945,270,2022-01-01,2022-12-31,913546.735112936,29.5551381907814,26.1346085658443,33.2989578629218,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"4","10",915591,110982675,68,2020-09-01,2020-12-31,303854.004106776,22.3791686405108,17.3783001174691,28.370928798337,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"5","10",915093,333740795,112,2021-01-01,2021-12-31,913732.498288843,12.2574167176656,10.0927190075061,14.7488574111692,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"6","10",918897,335128575,91,2022-01-01,2022-12-31,917532.032854209,9.9179098648929,7.98528235236806,12.1769955615599,"FALSE","FALSE",2,"allergy",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"7","100",915363,110958060,51,2020-09-01,2020-12-31,303786.611909651,16.788099936138,12.4998430969645,22.0732510083581,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"8","100",914889,333660398,171,2021-01-01,2021-12-31,913512.38329911,18.7189580706548,16.0183963045486,21.7444612502265,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"9","100",918627,335028169,109,2022-01-01,2022-12-31,917257.136208077,11.8832545092649,9.75738845877749,14.3347417411215,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"10","101",909675,27289017,9,2020-09-01,2020-09-30,74713.2566735113,12.046055011802,5.50822341390104,22.8671646935133,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"11","101",909587,28195255,15,2020-10-01,2020-10-31,77194.4010951403,19.431461073858,10.8756412559457,32.0492399973336,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"12","101",909439,27281268,17,2020-11-01,2020-11-30,74692.0410677618,22.7601224400567,13.2586100580958,36.4411608342761,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"13","101",914999,28192520,10,2020-12-01,2020-12-31,77186.9130732375,12.9555640999811,6.21269656370687,23.8257436523837,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"14","101",914889,28359590,22,2021-01-01,2021-01-31,77644.3258042437,28.3343306444134,17.7569741631733,42.8985171061976,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"15","101",914767,25612078,16,2021-02-01,2021-02-28,70122.0479123888,22.8173598409313,13.0420926454799,37.0539628706001,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"16","101",914651,28351937,13,2021-03-01,2021-03-31,77623.3730321698,16.747532981609,8.91735597232435,28.6387914487378,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"17","101",914509,27433328,13,2021-04-01,2021-04-30,75108.3586584531,17.3083265727002,9.21595494115456,29.5977655686088,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"18","101",914379,28343948,13,2021-05-01,2021-05-31,77601.5003422313,16.7522534263752,8.91986941035574,28.6468635530503,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"19","101",914257,27426112,9,2021-06-01,2021-06-30,75088.6023271732,11.9858403553519,5.48068943865407,22.7528585190305,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"20","101",914142,28336828,17,2021-07-01,2021-07-31,77582.006844627,21.9122973114704,12.7647206773604,35.0837106732973,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"21","101",914029,28332777,18,2021-08-01,2021-08-31,77570.9158110883,23.20457327568,13.7525007521886,36.6732298698239,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"22","101",913894,27414791,16,2021-09-01,2021-09-30,75057.6071184121,21.316959884903,12.1844844310233,34.6174073422961,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"23","101",913763,28324936,14,2021-10-01,2021-10-31,77549.4483230664,18.0529975425187,9.86974174776174,30.289862313371,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"24","101",913634,27407394,13,2021-11-01,2021-11-30,75037.3552361396,17.3247044210041,9.22467545560566,29.6257721879998,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"25","101",913512,28316679,7,2021-12-01,2021-12-31,77526.841889117,9.02913085252688,3.63017889409853,18.603460440618,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"26","101",918627,28474829,17,2022-01-01,2022-01-31,77959.832991102,21.8061011007301,12.7028574711513,34.9136802525132,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"27","101",918461,25715360,8,2022-02-01,2022-02-28,70404.8186173853,11.3628586183511,4.90567583948811,22.3893613104215,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"28","101",918350,28467053,13,2022-03-01,2022-03-31,77938.5434633812,16.6798087599724,8.88129567658141,28.5229809671817,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"29","101",918230,27545255,12,2022-04-01,2022-04-30,75414.7980835044,15.9119964581922,8.22196076406187,27.7950555870571,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"30","101",918114,28459694,7,2022-05-01,2022-05-31,77918.3956194387,8.98375787174662,3.61193660257778,18.5099747589057,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"31","101",917990,27538000,9,2022-06-01,2022-06-30,75394.9349760438,11.9371414046045,5.45842117734562,22.6604127410518,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"32","101",917877,28452766,7,2022-07-01,2022-07-31,77899.4277891855,8.98594533831966,3.612816077592,18.5144817760839,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"33","101",917779,28449406,8,2022-08-01,2022-08-31,77890.2286105407,10.2708647062789,4.43423037569709,20.23769797751,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"34","101",917669,27528382,10,2022-09-01,2022-09-30,75368.6023271732,13.2681245123669,6.36258143054819,24.4005533792251,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"35","101",917539,28441935,6,2022-10-01,2022-10-31,77869.7741273101,7.70517195823702,2.82766230950016,16.770915504606,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"36","101",917420,27520922,5,2022-11-01,2022-11-30,75348.1779603012,6.63586052821922,2.15464585085759,15.4858848550663,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"37","101",917307,28434567,7,2022-12-01,2022-12-31,77849.6016427105,8.99169662052529,3.61512839132606,18.5263316155361,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"38","102",920628,779646627,331,2020-09-01,2022-12-31,2134556.13141684,15.5067367462618,13.8810111119594,17.2705582036003,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"overall",FALSE,1,NA,5,"Denominator cohort 1","0 to 150","Male",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"39","103",981898,119202260,54,2020-09-01,2020-12-31,326358.001368925,16.5462466902893,12.4300497620364,21.5892627415813,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"40","103",981530,358035946,193,2021-01-01,2021-12-31,980248.996577687,19.6888750382622,17.0089921391533,22.6711384615271,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"41","103",984737,359218519,109,2022-01-01,2022-12-31,983486.704996578,11.0830171314191,9.10031030322786,13.3694172894684,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"42","104",977204,29314940,12,2020-09-01,2020-09-30,80259.9315537303,14.9514206749187,7.72561723974461,26.1171230056982,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"43","104",977125,30289487,13,2020-10-01,2020-10-31,82928.0958247776,15.6762311623171,8.34693287258097,26.8068327109915,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"44","104",977030,29309541,16,2020-11-01,2020-11-30,80245.1498973306,19.938899759638,11.3968040004194,32.3795240345427,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"45","104",981634,30288292,13,2020-12-01,2020-12-31,82924.8240930869,15.6768496553058,8.3472621940489,26.8078903528384,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"46","104",981530,30425880,29,2021-01-01,2021-01-31,83301.5195071869,34.8132905276692,23.3150070400244,49.9976923410063,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"47","104",981422,27478311,19,2021-02-01,2021-02-28,75231.5154004107,25.2553732287257,15.205384476815,39.4393937350139,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"48","104",981315,30418939,22,2021-03-01,2021-03-31,83282.5160848734,26.4161087275266,16.5548347004538,39.9943060716138,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"49","104",981196,29434373,15,2021-04-01,2021-04-30,80586.9212867899,18.6134421820366,10.4178022918956,30.7000422356889,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"50","104",981095,30412646,15,2021-05-01,2021-05-31,83265.2867898699,18.014710065017,10.0826964710637,29.712524660992,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"51","104",981015,29429224,10,2021-06-01,2021-06-30,80572.8240930869,12.4111325531383,5.95162047515208,22.8245146536891,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"52","104",980925,30407161,21,2021-07-01,2021-07-31,83250.2696783025,25.2251435114248,15.614761410754,38.5593114100263,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"53","104",980826,30403967,21,2021-08-01,2021-08-31,83241.5249828884,25.2277934652409,15.6164017739324,38.5633621459268,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"54","104",980721,29420328,8,2021-09-01,2021-09-30,80548.4681724846,9.93190830503317,4.28789306005491,19.5698187412309,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"55","104",980623,30397897,10,2021-10-01,2021-10-31,83224.9062286105,12.0156338446702,5.7619634715598,22.0971784474005,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"56","104",980533,29414668,13,2021-11-01,2021-11-30,80532.9719370294,16.1424565458295,8.59517825371729,27.6040923158049,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"57","104",980443,30392552,10,2021-12-01,2021-12-31,83210.2724161533,12.0177469795889,5.76297680189005,22.1010645777524,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"58","104",984737,30525141,16,2022-01-01,2022-01-31,83573.2813141684,19.1448747116352,10.9429500790596,31.0900771023765,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"59","104",984621,27567993,15,2022-02-01,2022-02-28,75477.0513347023,19.8735903625628,11.1230976625651,32.7784650221371,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"60","104",984521,30518795,12,2022-03-01,2022-03-31,83555.9069130732,14.3616417358549,7.420869855644,25.0868978897975,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"61","104",984431,29531632,7,2022-04-01,2022-04-30,80853.2019164956,8.65766578697716,3.4808306718966,17.8381004336699,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"62","104",984340,30513141,12,2022-05-01,2022-05-31,83540.4271047228,14.3643029080487,7.42224492214941,25.0915464220699,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"63","104",984246,29526174,8,2022-06-01,2022-06-30,80838.2587268994,9.89630420792074,4.27252173802603,19.4996644762562,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"64","104",984160,30507713,NA,2022-07-01,2022-07-31,83525.5660506502,NA,NA,NA,"FALSE","TRUE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"65","104",984068,30504503,7,2022-08-01,2022-08-31,83516.7775496235,8.38154943878286,3.36981757928536,17.269195226232,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"66","104",983975,29518059,10,2022-09-01,2022-09-30,80816.0410677618,12.3737810809308,5.93370899239131,22.7558239664302,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"67","104",983892,30499152,8,2022-10-01,2022-10-31,83502.1273100616,9.58059424078414,4.13622058264895,18.8775899824218,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"68","104",983796,29512761,6,2022-11-01,2022-11-30,80801.5359342916,7.4256014203483,2.72506484936307,16.1624081417694,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"69","104",983715,30493455,6,2022-12-01,2022-12-31,83486.5297741273,7.18678811567925,2.63742457549508,15.6426121170099,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"70","105",986285,836456725,356,2020-09-01,2022-12-31,2290093.70294319,15.5452154443495,13.972159452375,17.2469054183169,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"overall",FALSE,2,NA,5,"Denominator cohort 2","0 to 150","Female",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"71","106",1897261,230160320,105,2020-09-01,2020-12-31,630144.613278576,16.6628417965356,13.6285537495045,20.1713859311598,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"72","106",1896419,691696344,364,2021-01-01,2021-12-31,1893761.3798768,19.2210066098022,17.2969122652332,21.3006260380476,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"73","106",1903364,694246688,218,2022-01-01,2022-12-31,1900743.84120465,11.4691940741387,9.9971364101203,13.0969805015749,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"years",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"74","107",1886879,56603957,21,2020-09-01,2020-09-30,154973.188227242,13.5507310911144,8.38811612045749,20.7137319055946,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"75","107",1886712,58484742,28,2020-10-01,2020-10-31,160122.496919918,17.4866121491995,11.6197267802805,25.2730232926029,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"76","107",1886469,56590809,33,2020-11-01,2020-11-30,154937.190965092,21.2989533335705,14.6612194472067,29.9116493467412,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"77","107",1896633,58480812,23,2020-12-01,2020-12-31,160111.737166324,14.3649681197997,9.10615754665063,21.5545053133629,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"78","107",1896419,58785470,51,2021-01-01,2021-01-31,160945.845311431,31.6876772440537,23.5935570531897,41.6634435308666,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"79","107",1896189,53090389,35,2021-02-01,2021-02-28,145353.563312799,24.0792170500013,16.7720569395721,33.4883619360137,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"80","107",1895966,58770876,35,2021-03-01,2021-03-31,160905.889117043,21.7518452506987,15.1509572062876,30.2515511621055,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"81","107",1895705,56867701,28,2021-04-01,2021-04-30,155695.279945243,17.9838464016683,11.9501353299863,25.9916652306354,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"82","107",1895474,58756594,28,2021-05-01,2021-05-31,160866.787132101,17.4057059876548,11.5659652234981,25.1560913627477,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"83","107",1895272,56855336,19,2021-06-01,2021-06-30,155661.42642026,12.2059783447591,7.3487963122493,19.0611471665942,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"84","107",1895067,58743989,38,2021-07-01,2021-07-31,160832.276522929,23.6270982551083,16.7199409388217,32.4300383274271,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"85","107",1894855,58736744,39,2021-08-01,2021-08-31,160812.440793977,24.2518550228116,17.2454396889393,33.1530841784411,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"86","107",1894615,56835119,24,2021-09-01,2021-09-30,155606.075290897,15.4235623224436,9.88216740634295,22.9490381574082,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"87","107",1894386,58722833,24,2021-10-01,2021-10-31,160774.354551677,14.9277539113278,9.56449360195928,22.211314542877,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
"88","107",1894167,56822062,26,2021-11-01,2021-11-30,155570.327173169,16.7126986697526,10.9172896427035,24.4879758083426,"FALSE","FALSE",12,"fatigue_malaise",FALSE,"months",FALSE,3,NA,5,"Denominator cohort 3","0 to 150","Both",365,2020-09-01,2022-12-31,NA,NA,FALSE,"ematch"
