"","analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_outcome_washout","analysis_min_cell_count","denominator_cohort_name","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","cdm_name"
"1","1",242047,26963644,824,2020-09-01,2020-12-31,73822.4339493498,1116.19186190116,1041.27088165788,1195.07948619829,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"2","1",260808,73938767,2920,2021-01-01,2021-12-31,202433.311430527,1442.45034543246,1390.60101830799,1495.73836542386,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"3","1",208100,30155457,1607,2022-01-01,2022-06-20,82561.1416837782,1946.43626193428,1852.42294309017,2043.9847363476,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"4","10",823604,93357492,3849,2020-09-01,2020-12-31,255598.882956879,1505.87512569425,1458.6734854167,1554.21529431279,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"5","10",842555,257528666,11477,2021-01-01,2021-12-31,705075.06091718,1627.7699547436,1598.12436194353,1657.82733936222,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"6","10",735872,109269653,4800,2022-01-01,2022-06-20,299164.005475702,1604.47109683784,1559.39860652575,1650.51577023238,"FALSE","FALSE",1,"abdominal_pain",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"7","100",964357,110064525,1752,2020-09-01,2020-12-31,301340.246406571,581.402590889299,554.493874335924,609.279528146489,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"8","100",977389,303554610,5743,2021-01-01,2021-12-31,831087.227926078,691.022531332995,673.264861656622,709.130009452557,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"9","100",854129,127889897,2625,2022-01-01,2022-06-20,350143.455167693,749.692722013843,721.284997206925,778.932500101361,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"10","101",943382,27721183,406,2020-09-01,2020-09-30,75896.462696783,534.939291732247,484.163980916903,589.59170917507,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"11","101",927260,28290063,465,2020-10-01,2020-10-31,77453.9712525667,600.356563362902,547.022424157062,657.485785945941,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"12","101",911463,26619889,477,2020-11-01,2020-11-30,72881.2840520192,654.48901759132,597.064975529572,715.945474149172,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"13","101",890859,27433390,404,2020-12-01,2020-12-31,75108.5284052019,537.888317849161,486.710037638617,592.984535583458,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"14","101",881746,27042885,471,2021-01-01,2021-01-31,74039.3839835729,636.147918389624,579.986919835969,696.278637206732,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"15","101",873677,24176584,442,2021-02-01,2021-02-28,66191.8795345654,667.755626684068,606.94649281831,733.007289960211,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"16","101",867120,26552846,439,2021-03-01,2021-03-31,72697.7303216975,603.870296991893,548.695803114632,663.089965899004,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"17","101",865255,25607002,464,2021-04-01,2021-04-30,70108.1505817933,661.834602894943,602.977066063107,724.884934753613,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"18","101",856615,26004013,457,2021-05-01,2021-05-31,71195.1074606434,641.898040890842,584.388190086796,703.537154783058,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"19","101",834635,24779550,469,2021-06-01,2021-06-30,67842.7104722793,691.304926844918,630.147531461547,756.794771880976,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"20","101",832487,25470660,459,2021-07-01,2021-07-31,69734.8665297741,658.207325605226,599.36186973717,721.268369544851,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"21","101",827753,25362177,503,2021-08-01,2021-08-31,69437.8562628337,724.388722624245,662.458920504033,790.549237620686,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"22","101",827154,24529910,500,2021-09-01,2021-09-30,67159.2334017796,744.499266405788,680.663780309792,812.709200088499,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"23","101",823077,25005559,497,2021-10-01,2021-10-31,68461.4893908282,725.955576518006,663.52672058167,792.675860805775,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"24","101",817997,24132440,536,2021-11-01,2021-11-30,66071.0198494182,811.248261675985,744.014554227904,882.926228972451,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"25","101",811412,24890984,506,2021-12-01,2021-12-31,68147.8001368925,742.503791734389,679.209540617478,810.108656437828,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"26","101",804056,24605237,565,2022-01-01,2022-01-31,67365.4674880219,838.708645643202,770.968378237518,910.80616210053,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"27","101",799487,22221238,508,2022-02-01,2022-02-28,60838.4339493498,834.998482082771,763.956713652427,910.86861876491,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"28","101",800321,24500569,539,2022-03-01,2022-03-31,67078.9021218344,803.531338394631,737.118764713426,874.321221888073,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"29","101",818385,23835478,452,2022-04-01,2022-04-30,65257.9822039699,692.6355745834,630.245783272631,759.530688430387,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"30","101",818524,24906375,458,2022-05-01,2022-05-31,68189.9383983573,671.65334176491,611.54179735494,736.076055817795,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"31","101",798450,7821000,103,2022-06-01,2022-06-20,21412.7310061602,481.0222477944,392.625949117056,583.379370950366,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"32","102",1188789,541509032,10120,2020-09-01,2022-06-20,1482570.92950034,682.598032824686,669.362914663015,696.029029224168,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"overall",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"33","103",968696,113633311,2294,2020-09-01,2020-12-31,311111.049965777,737.357287776293,707.489119138373,768.162326322171,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"34","103",980548,322548709,7542,2021-01-01,2021-12-31,883090.236824093,854.046357382878,834.879195117921,873.542542862397,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"35","103",872091,135556417,3312,2022-01-01,2022-06-20,371133.242984257,892.401869842872,862.265586819467,923.322586043399,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"36","104",959389,28489368,541,2020-09-01,2020-09-30,77999.6386036961,693.592957204245,636.37066390516,754.579593935186,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"37","104",942430,28868583,609,2020-10-01,2020-10-31,79037.8726899384,770.516689371279,710.527931707666,834.217316399724,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"38","104",927338,27686724,605,2020-11-01,2020-11-30,75802.1190965092,798.130721424463,735.791157498077,864.340773530161,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"39","104",925400,28588636,539,2020-12-01,2020-12-31,78271.4195756331,688.629391062938,631.713564650515,749.296588512759,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"40","104",937643,28859424,609,2021-01-01,2021-01-31,79012.7967145791,770.761225172062,710.753429116294,834.482068613798,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"41","104",928346,25764089,617,2021-02-01,2021-02-28,70538.2313483915,874.702963493101,807.036775514308,946.527927990069,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"42","104",916665,28219387,706,2021-03-01,2021-03-31,77260.4709103354,913.791996970026,847.621016416656,983.756620767584,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"43","104",914314,27194230,644,2021-04-01,2021-04-30,74453.7440109514,864.966575630198,799.443358010658,934.428750850374,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"44","104",902180,27594125,653,2021-05-01,2021-05-31,75548.5968514716,864.344312421575,799.312160184527,933.257989403552,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"45","104",883369,26385107,589,2021-06-01,2021-06-30,72238.4859685147,815.354851507709,750.82847556065,883.943387659309,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"46","104",882310,27133478,627,2021-07-01,2021-07-31,74287.4140999316,844.019148595694,779.238961304381,912.74780458111,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"47","104",877584,27026853,582,2021-08-01,2021-08-31,73995.4907597536,786.534414495095,723.923389834706,853.111467522982,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"48","104",875001,26118815,647,2021-09-01,2021-09-30,71509.4182067077,904.775924941465,836.393017264572,977.259848816384,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"49","104",869524,26546995,580,2021-10-01,2021-10-31,72681.711156742,797.999924285216,734.369047506207,865.668613629726,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"50","104",858360,25511670,718,2021-11-01,2021-11-30,69847.1457905544,1027.95896936578,954.133784820905,1105.98000261831,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"51","104",851681,26194536,570,2021-12-01,2021-12-31,71716.7310061602,794.793616500785,730.876501784618,862.803363713581,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"52","104",857500,26366933,714,2022-01-01,2022-01-31,72188.7282683094,989.074080022883,917.846516691011,1064.36153165539,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"53","104",852871,23789451,635,2022-02-01,2022-02-28,65131.9671457906,974.943684072407,900.578251243067,1053.81223730833,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"54","104",852507,26220731,664,2022-03-01,2022-03-31,71788.4490075291,924.93988821288,855.916225054176,998.047944096977,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"55","104",848646,25335085,573,2022-04-01,2022-04-30,69363.6824093087,826.080709814078,759.817989829938,896.574744926059,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"56","104",848575,25883625,607,2022-05-01,2022-05-31,70865.5030800821,856.552163771496,789.757549043097,927.486800138556,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"57","104",828716,7960592,119,2022-06-01,2022-06-20,21794.9130732375,545.998965906053,452.314872034443,653.369166427396,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"58","105",1115604,571738437,13148,2020-09-01,2022-06-20,1565334.52977413,839.948250671836,825.651620348107,854.430326461695,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"overall",FALSE,5,NA,5,"Denominator cohort 5","41;64","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"59","106",522444,61106217,1558,2020-09-01,2020-12-31,167299.704312115,931.262853336184,885.589568653747,978.680936955556,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"60","106",544293,178814496,4916,2021-01-01,2021-12-31,489567.40862423,1004.1518110478,976.2758335505,1032.6218343507,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"61","106",501869,77526951,2296,2022-01-01,2022-06-20,212257.223819302,1081.70641200632,1037.90856829126,1126.87744665228,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"years",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"62","107",517466,15366657,367,2020-09-01,2020-09-30,42071.613963039,872.32213226338,785.347646804029,966.296745980576,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"63","107",507642,15543746,420,2020-10-01,2020-10-31,42556.4572210815,986.924258798362,894.783291406736,1085.97788210805,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"64","107",498742,14884161,389,2020-11-01,2020-11-30,40750.6119096509,954.586892737857,862.0708828108,1054.32640699813,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"65","107",496676,15311653,382,2020-12-01,2020-12-31,41921.0212183436,911.237343218266,822.137949785191,1007.35962953271,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"66","107",525690,16165327,348,2021-01-01,2021-01-31,44258.2532511978,786.294023003679,705.842397484958,873.402989251911,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"67","107",518332,14379417,334,2021-02-01,2021-02-28,39368.6981519507,848.389750432858,759.83387227451,944.432527043432,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"68","107",510201,15717687,505,2021-03-01,2021-03-31,43032.681724846,1173.52667730309,1073.39337472092,1280.48649116109,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"69","107",507596,15102066,475,2021-04-01,2021-04-30,41347.2032854209,1148.80805050117,1047.80598723276,1256.91813631055,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"70","107",499561,15305991,436,2021-05-01,2021-05-31,41905.5195071869,1040.43573526209,945.054454592339,1142.83496677391,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"71","107",491045,14655708,418,2021-06-01,2021-06-30,40125.1416837782,1041.7408698372,944.255453185449,1146.55808374383,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"72","107",489311,15060734,391,2021-07-01,2021-07-31,41234.0424366872,948.245616714298,856.573527252532,1047.05621783242,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"73","107",486264,14979751,429,2021-08-01,2021-08-31,41012.3230663929,1046.02706680505,949.372948638189,1149.85289427067,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"74","107",483797,14431428,416,2021-09-01,2021-09-30,39511.0965092402,1052.86878055311,954.111303031401,1159.0722863575,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"75","107",479559,14625006,375,2021-10-01,2021-10-31,40041.0841889117,936.538077317712,844.136251507844,1036.29366748466,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"76","107",471494,14023875,402,2021-11-01,2021-11-30,38395.2772073922,1047.00377035591,947.143572178899,1154.52851673396,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"77","107",467442,14367506,387,2021-12-01,2021-12-31,39336.0876112252,983.829413399932,888.239539811064,1086.90286924567,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"78","107",494234,15193898,444,2022-01-01,2022-01-31,41598.6255989049,1067.34295570498,970.359349793271,1171.39528101112,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"79","107",490493,13662980,476,2022-02-01,2022-02-28,37407.2005475702,1272.48228424546,1160.72177608891,1392.09935980174,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"80","107",488671,15004690,501,2022-03-01,2022-03-31,41080.6023271732,1219.55368621411,1115.08775265303,1331.17093237491,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"81","107",484316,14445486,379,2022-04-01,2022-04-30,39549.5852156058,958.290707560826,864.22998625805,1059.79591501557,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"82","107",482786,14725235,411,2022-05-01,2022-05-31,40315.4962354552,1019.45911219753,923.269922619373,1122.94647431238,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"83","107",471476,4494662,85,2022-06-01,2022-06-20,12305.7138945927,690.736033098818,551.735409959663,854.105801737213,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"months",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"84","108",613274,317447664,8770,2020-09-01,2022-06-20,869124.336755647,1009.06160708116,988.052153856107,1030.40527654314,"FALSE","FALSE",6,"chest_pain_angina",FALSE,"overall",FALSE,6,NA,5,"Denominator cohort 6","65;120","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"85","109",258464,28884703,NA,2020-09-01,2020-12-31,79082.006844627,NA,NA,NA,"FALSE","TRUE",7,"cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"86","109",275865,78871809,NA,2021-01-01,2021-12-31,215939.244353183,NA,NA,NA,"FALSE","TRUE",7,"cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"87","109",220276,32103144,NA,2022-01-01,2022-06-20,87893.6180698152,NA,NA,NA,"FALSE","TRUE",7,"cognitive_dysfunction_brain_fog",FALSE,"years",FALSE,1,NA,5,"Denominator cohort 1","0;6","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"88","11",802629,23527615,1004,2020-09-01,2020-09-30,64415.099247091,1558.64077170593,1463.70832858762,1658.11422032838,"FALSE","FALSE",1,"abdominal_pain",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
"89","11",788750,24036775,998,2020-10-01,2020-10-31,65809.1033538672,1516.50751816747,1423.86841103021,1613.59158052103,"FALSE","FALSE",1,"abdominal_pain",FALSE,"months",FALSE,4,NA,5,"Denominator cohort 4","19;40","Both",0,2020-09-01,2022-07-01,NA,NA,"cdm_gold_202207"
